######################################################
24-Sep-2023 17:24:45:Finished extracted the data for iris
24-Sep-2023 17:24:48:Error of round 101 : 0.240164 

24-Sep-2023 17:24:48:Error of round 102 : 0.238108 

24-Sep-2023 17:24:48:Error of round 103 : 0.236035 

24-Sep-2023 17:24:48:Error of round 104 : 0.233943 

24-Sep-2023 17:24:48:Error of round 105 : 0.231830 

24-Sep-2023 17:24:48:Error of round 106 : 0.229696 

24-Sep-2023 17:24:48:Error of round 107 : 0.227541 

24-Sep-2023 17:24:48:Error of round 108 : 0.225366 

24-Sep-2023 17:24:48:Error of round 109 : 0.223172 

24-Sep-2023 17:24:48:Error of round 110 : 0.220960 

24-Sep-2023 17:24:48:Error of round 111 : 0.218735 

24-Sep-2023 17:24:48:Error of round 112 : 0.216500 

24-Sep-2023 17:24:48:Error of round 113 : 0.214260 

24-Sep-2023 17:24:48:Error of round 114 : 0.212018 

24-Sep-2023 17:24:48:Error of round 115 : 0.209777 

24-Sep-2023 17:24:48:Error of round 116 : 0.207541 

24-Sep-2023 17:24:48:Error of round 117 : 0.205311 

24-Sep-2023 17:24:48:Error of round 118 : 0.203088 

24-Sep-2023 17:24:48:Error of round 119 : 0.200872 

24-Sep-2023 17:24:48:Error of round 120 : 0.198663 

24-Sep-2023 17:24:48:Error of round 121 : 0.196461 

24-Sep-2023 17:24:48:Error of round 122 : 0.194265 

24-Sep-2023 17:24:48:Error of round 123 : 0.192074 

24-Sep-2023 17:24:48:Error of round 124 : 0.189888 

24-Sep-2023 17:24:48:Error of round 125 : 0.187707 

24-Sep-2023 17:24:48:Error of round 126 : 0.185529 

24-Sep-2023 17:24:48:Error of round 127 : 0.183356 

24-Sep-2023 17:24:48:Error of round 128 : 0.181185 

24-Sep-2023 17:24:49:Error of round 129 : 0.179016 

24-Sep-2023 17:24:49:Error of round 130 : 0.176850 

24-Sep-2023 17:24:49:Error of round 131 : 0.174686 

24-Sep-2023 17:24:49:Error of round 132 : 0.172523 

24-Sep-2023 17:24:49:Error of round 133 : 0.170362 

24-Sep-2023 17:24:49:Error of round 134 : 0.168201 

24-Sep-2023 17:24:49:Error of round 135 : 0.166041 

24-Sep-2023 17:24:49:Error of round 136 : 0.163881 

24-Sep-2023 17:24:49:Error of round 137 : 0.161723 

24-Sep-2023 17:24:49:Error of round 138 : 0.159565 

24-Sep-2023 17:24:49:Error of round 139 : 0.157409 

24-Sep-2023 17:24:49:Error of round 140 : 0.155255 

24-Sep-2023 17:24:49:Error of round 141 : 0.153104 

24-Sep-2023 17:24:49:Error of round 142 : 0.150956 

24-Sep-2023 17:24:49:Error of round 143 : 0.148813 

24-Sep-2023 17:24:49:Error of round 144 : 0.146675 

24-Sep-2023 17:24:49:Error of round 145 : 0.144544 

24-Sep-2023 17:24:49:Error of round 146 : 0.142422 

24-Sep-2023 17:24:49:Error of round 147 : 0.140309 

24-Sep-2023 17:24:49:Error of round 148 : 0.138208 

24-Sep-2023 17:24:49:Error of round 149 : 0.136120 

24-Sep-2023 17:24:49:Error of round 150 : 0.134046 

24-Sep-2023 17:24:49:Error of round 151 : 0.131989 

24-Sep-2023 17:24:49:Error of round 152 : 0.129951 

24-Sep-2023 17:24:49:Error of round 153 : 0.127932 

24-Sep-2023 17:24:49:Error of round 154 : 0.125936 

24-Sep-2023 17:24:49:Error of round 155 : 0.123963 

24-Sep-2023 17:24:49:Error of round 156 : 0.122017 

24-Sep-2023 17:24:49:Error of round 157 : 0.120098 

24-Sep-2023 17:24:49:Error of round 158 : 0.118210 

24-Sep-2023 17:24:49:Error of round 159 : 0.116353 

24-Sep-2023 17:24:49:Error of round 160 : 0.114529 

24-Sep-2023 17:24:49:Error of round 161 : 0.112741 

24-Sep-2023 17:24:49:Error of round 162 : 0.110990 

24-Sep-2023 17:24:49:Error of round 163 : 0.109278 

24-Sep-2023 17:24:49:Error of round 164 : 0.107606 

24-Sep-2023 17:24:49:Error of round 165 : 0.105977 

24-Sep-2023 17:24:49:Error of round 166 : 0.104390 

24-Sep-2023 17:24:49:Error of round 167 : 0.102849 

24-Sep-2023 17:24:49:Error of round 168 : 0.101353 

24-Sep-2023 17:24:49:Error of round 169 : 0.099904 

24-Sep-2023 17:24:50:Error of round 170 : 0.098502 

24-Sep-2023 17:24:50:Error of round 171 : 0.097149 

24-Sep-2023 17:24:50:Error of round 172 : 0.095845 

24-Sep-2023 17:24:50:Error of round 173 : 0.094591 

24-Sep-2023 17:24:50:Error of round 174 : 0.093386 

24-Sep-2023 17:24:50:Error of round 175 : 0.092232 

24-Sep-2023 17:24:50:Error of round 176 : 0.091127 

24-Sep-2023 17:24:50:Error of round 177 : 0.090073 

24-Sep-2023 17:24:50:Error of round 178 : 0.089068 

24-Sep-2023 17:24:50:Error of round 179 : 0.088113 

24-Sep-2023 17:24:50:Error of round 180 : 0.087206 

24-Sep-2023 17:24:50:Error of round 181 : 0.086348 

24-Sep-2023 17:24:50:Error of round 182 : 0.085536 

24-Sep-2023 17:24:50:Error of round 183 : 0.084770 

24-Sep-2023 17:24:50:Error of round 184 : 0.084048 

24-Sep-2023 17:24:50:Error of round 185 : 0.083369 

24-Sep-2023 17:24:50:Error of round 186 : 0.082731 

24-Sep-2023 17:24:50:Error of round 187 : 0.082132 

24-Sep-2023 17:24:50:Error of round 188 : 0.081570 

24-Sep-2023 17:24:50:Error of round 189 : 0.081043 

24-Sep-2023 17:24:50:Error of round 190 : 0.080549 

24-Sep-2023 17:24:50:Error of round 191 : 0.080085 

24-Sep-2023 17:24:50:Error of round 192 : 0.079650 

24-Sep-2023 17:24:50:Error of round 193 : 0.079240 

24-Sep-2023 17:24:50:Error of round 194 : 0.078855 

24-Sep-2023 17:24:50:Error of round 195 : 0.078493 

24-Sep-2023 17:24:50:Error of round 196 : 0.078150 

24-Sep-2023 17:24:50:Error of round 197 : 0.077826 

24-Sep-2023 17:24:50:Error of round 198 : 0.077519 

24-Sep-2023 17:24:50:Error of round 199 : 0.077228 

24-Sep-2023 17:24:50:Error of round 200 : 0.076950 

24-Sep-2023 17:24:50:Error of round 201 : 0.076685 

24-Sep-2023 17:24:50:Error of round 202 : 0.076432 

24-Sep-2023 17:24:50:Error of round 203 : 0.076190 

24-Sep-2023 17:24:50:Error of round 204 : 0.075957 

24-Sep-2023 17:24:50:Error of round 205 : 0.075732 

24-Sep-2023 17:24:50:Error of round 206 : 0.075516 

24-Sep-2023 17:24:50:Error of round 207 : 0.075308 

24-Sep-2023 17:24:50:Error of round 208 : 0.075106 

24-Sep-2023 17:24:50:Error of round 209 : 0.074910 

24-Sep-2023 17:24:50:Error of round 210 : 0.074720 

24-Sep-2023 17:24:51:Error of round 211 : 0.074535 

24-Sep-2023 17:24:51:Error of round 212 : 0.074356 

24-Sep-2023 17:24:51:Error of round 213 : 0.074180 

24-Sep-2023 17:24:51:Error of round 214 : 0.074009 

24-Sep-2023 17:24:51:Error of round 215 : 0.073842 

24-Sep-2023 17:24:51:Error of round 216 : 0.073679 

24-Sep-2023 17:24:51:Error of round 217 : 0.073519 

24-Sep-2023 17:24:51:Error of round 218 : 0.073363 

24-Sep-2023 17:24:51:Error of round 219 : 0.073209 

24-Sep-2023 17:24:51:Error of round 220 : 0.073059 

24-Sep-2023 17:24:51:Error of round 221 : 0.072911 

24-Sep-2023 17:24:51:Error of round 222 : 0.072766 

24-Sep-2023 17:24:51:Error of round 223 : 0.072623 

24-Sep-2023 17:24:51:Error of round 224 : 0.072483 

24-Sep-2023 17:24:51:Error of round 225 : 0.072345 

24-Sep-2023 17:24:51:Error of round 226 : 0.072209 

24-Sep-2023 17:24:51:Error of round 227 : 0.072075 

24-Sep-2023 17:24:51:Error of round 228 : 0.071943 

24-Sep-2023 17:24:51:Error of round 229 : 0.071813 

24-Sep-2023 17:24:51:Error of round 230 : 0.071685 

24-Sep-2023 17:24:51:Error of round 231 : 0.071559 

24-Sep-2023 17:24:51:Error of round 232 : 0.071435 

24-Sep-2023 17:24:51:Error of round 233 : 0.071312 

24-Sep-2023 17:24:51:Error of round 234 : 0.071191 

24-Sep-2023 17:24:51:Error of round 235 : 0.071072 

24-Sep-2023 17:24:51:Error of round 236 : 0.070954 

24-Sep-2023 17:24:51:Error of round 237 : 0.070837 

24-Sep-2023 17:24:51:Error of round 238 : 0.070722 

24-Sep-2023 17:24:51:Error of round 239 : 0.070608 

24-Sep-2023 17:24:51:Error of round 240 : 0.070496 

24-Sep-2023 17:24:51:Error of round 241 : 0.070385 

24-Sep-2023 17:24:51:Error of round 242 : 0.070276 

24-Sep-2023 17:24:51:Error of round 243 : 0.070167 

24-Sep-2023 17:24:51:Error of round 244 : 0.070060 

24-Sep-2023 17:24:51:Error of round 245 : 0.069954 

24-Sep-2023 17:24:51:Error of round 246 : 0.069850 

24-Sep-2023 17:24:51:Error of round 247 : 0.069746 

24-Sep-2023 17:24:51:Error of round 248 : 0.069644 

24-Sep-2023 17:24:51:Error of round 249 : 0.069543 

24-Sep-2023 17:24:51:Error of round 250 : 0.069443 

24-Sep-2023 17:24:51:Error of round 251 : 0.069344 

24-Sep-2023 17:24:52:Error of round 252 : 0.069246 

24-Sep-2023 17:24:52:Error of round 253 : 0.069149 

24-Sep-2023 17:24:52:Error of round 254 : 0.069053 

24-Sep-2023 17:24:52:Error of round 255 : 0.068958 

24-Sep-2023 17:24:52:Error of round 256 : 0.068864 

24-Sep-2023 17:24:52:Error of round 257 : 0.068770 

24-Sep-2023 17:24:52:Error of round 258 : 0.068678 

24-Sep-2023 17:24:52:Error of round 259 : 0.068587 

24-Sep-2023 17:24:52:Error of round 260 : 0.068497 

